MM523,Product Design Development and Value Analysis,"<a href='https://drive.google.com/file/d/1HNbvuuGhH9KQ4h72WxssBMd2gIFyL2dN/view?usp=sharing'target=""_blank"">2019</a>"
PS302,Statistical Physics,"<a href='https://drive.google.com/file/d/1iRcaVKAvhIt6cSwmRDfEEOufoKixgSwS/view?usp=sharing'target=""_blank"">2019</a>"
MM413,Advanced Bio Materials & Processing Tech.,"<a href='https://drive.google.com/file/d/1mA_DqYg7HnkbiPLTuCgkmVvl21R_SopJ/view?usp=sharing'target=""_blank"">2019</a>"
MM309,Project & Quality Management,"<a href='https://drive.google.com/file/d/1g52ev2p1rmXTxveVUsn-9rzCPT0OzrO-/view?usp=sharing'target=""_blank"">2019</a>"
MM421,Finite Element Analysis,"<a href='https://drive.google.com/file/d/1UUH8ctxicgNHWx_yiBzta0pr4FhzzCgW/view?usp=sharing'target=""_blank"">2019</a>"
MM453,Manufacturing Automation,"<a href='https://drive.google.com/file/d/1b_HIevL2033aKuthnFUS08JXkC8cJiEJ/view?usp=sharing'target=""_blank"">2019</a>"
MM533,Research Practice & Methodology,"<a href='https://drive.google.com/file/d/1Ed6en5RUfhtyfyqnQVkC8KwuUIV39smt/view?usp=sharing'target=""_blank"">2019</a>"
MS111,Mathematical Concepts and Skills,"<a href='https://drive.google.com/file/d/197zMLlesXVkhSOzDHAk2FdLVKiFVTNaq/view?usp=sharing'target=""_blank"">2019</a>"
MM584,Manufacturing Systems Simulation,"<a href='https://drive.google.com/file/d/1gwBYTMQdMyrSJmCuFEl9E6lgtzlqyUaF/view?usp=sharing'target=""_blank"">2019</a>"
MS103,Linear Mathematics I,"<a href='https://drive.google.com/file/d/1CXdQyorQpT_-yyylnwwkHolUIKUonfGf/view?usp=sharing'target=""_blank"">2019</a>"
MS115,Mathematics for Enterprise Computing,"<a href='https://drive.google.com/file/d/10dcLk_GUr620oG2FFDOlosSxLrK9UlXw/view?usp=sharing'target=""_blank"">2019</a>"
MS221,Calculus of Several Variables,"<a href='https://drive.google.com/file/d/1d6GQD_v9BGZ4x99uFkDjjtnf_xbQ4Wdv/view?usp=sharing'target=""_blank"">2019</a>"
MS145,Mathematics for Economics,"<a href='https://drive.google.com/file/d/1od0bJOGu-JSb415tDDsJNRIIKdMT8UOT/view?usp=sharing'target=""_blank"">2019</a>"
MS231,Analysis,"<a href='https://drive.google.com/file/d/1rqddm84sNzXx4K6xVqNwKrAX73klUcGp/view?usp=sharing'target=""_blank"">2019</a>"
MS123,Mathematics for Scientists 1,"<a href='https://drive.google.com/file/d/1XQGrMlpMd_xs9ymDgAyH5CcFXSg6wSbN/view?usp=sharing'target=""_blank"">2019</a>"
MS225,Modelling with Differential Equations,"<a href='https://drive.google.com/file/d/1Jbf_4ucEZuhnfFTxu2CPRO5k5dL2bat5/view?usp=sharing'target=""_blank"">2019</a>"
MS217,Linear Algebra,"<a href='https://drive.google.com/file/d/1w_feRkIdJEtNGQV3yV5eyxoqWOLWVG3c/view?usp=sharing'target=""_blank"">2019</a>"
MS342,Discrete Mathematics II,"<a href='https://drive.google.com/file/d/12onZUMqAVYM5YbSRjFN5dSR-e3qItjYs/view?usp=sharing'target=""_blank"">2019</a>"
MS213,Numerical Methods,"<a href='https://drive.google.com/file/d/1i0RDeSh4-4aA8XcNI09Wun1LUuYiZCYy/view?usp=sharing'target=""_blank"">2019</a>"
MS136,Mathematics for Economics and Business,"<a href='https://drive.google.com/file/d/1YlYSUQLkk1QFlxuW0CKN4V1O95FvdPZe/view?usp=sharing'target=""_blank"">2019</a>"
MS205,Calculus of Several Variables,"<a href='https://drive.google.com/file/d/1CRQxEQKZaEkStzD3BhXQjufR3_Ps5F65/view?usp=sharing'target=""_blank"">2019</a>"
MS144,Accounting Mathematics 1,"<a href='https://drive.google.com/file/d/1mYJ7DvDpW629_f4XWb03LNjHraGONhqh/view?usp=sharing'target=""_blank"">2019</a>"
MS321,Introduction to Abstract Algebra,"<a href='https://drive.google.com/file/d/1pO6A8QHVUGPw-NJJ-gEU4bbZp6r8cNgt/view?usp=sharing'target=""_blank"">2019</a>"
MS309,Partial Differential Equations,"<a href='https://drive.google.com/file/d/1gyCLr0woXf9z5Aa2dwYPdME1-GwN4TZa/view?usp=sharing'target=""_blank"">2019</a>"
MS318,Financial Mathematics,"<a href='https://drive.google.com/file/d/1HTiDq-aUGyBc1MGhY5pflc2yrC-1Aq9g/view?usp=sharing'target=""_blank"">2019</a>"
MS255,Statistics 1,"<a href='https://drive.google.com/file/d/1BWeR8wocpEDi_E2ryVgJzBHqtDejPQIZ/view?usp=sharing'target=""_blank"">2019</a>"
